Content,Colony,Well Col,Well Row,Content,Raw Data (EYFP) 1 - 0 h  ,Raw Data (EYFP) 2 - 0 h 11 min ,Raw Data (EYFP) 3 - 0 h 23 min ,Raw Data (EYFP) 4 - 0 h 34 min ,Raw Data (EYFP) 5 - 0 h 46 min ,Raw Data (EYFP) 6 - 0 h 58 min ,Raw Data (EYFP) 7 - 1 h 9 min ,Raw Data (EYFP) 8 - 1 h 21 min ,Raw Data (EYFP) 9 - 1 h 33 min ,Raw Data (EYFP) 10 - 1 h 44 min ,Raw Data (EYFP) 11 - 1 h 56 min ,Raw Data (EYFP) 12 - 2 h 8 min ,Raw Data (EYFP) 13 - 2 h 19 min ,Raw Data (EYFP) 14 - 2 h 31 min ,Raw Data (EYFP) 15 - 2 h 43 min ,Raw Data (EYFP) 16 - 2 h 54 min ,Raw Data (EYFP) 17 - 3 h 6 min ,Raw Data (EYFP) 18 - 3 h 18 min ,Raw Data (EYFP) 19 - 3 h 29 min ,Raw Data (EYFP) 20 - 3 h 41 min ,Raw Data (EYFP) 21 - 3 h 53 min ,Raw Data (EYFP) 22 - 4 h 4 min ,Raw Data (EYFP) 23 - 4 h 16 min ,Raw Data (EYFP) 24 - 4 h 28 min ,Raw Data (EYFP) 25 - 4 h 39 min ,Raw Data (EYFP) 26 - 4 h 51 min ,Raw Data (EYFP) 27 - 5 h 3 min ,Raw Data (EYFP) 28 - 5 h 14 min ,Raw Data (EYFP) 29 - 5 h 26 min ,Raw Data (EYFP) 30 - 5 h 38 min ,Raw Data (EYFP) 31 - 5 h 49 min ,Raw Data (EYFP) 32 - 6 h 1 min ,Raw Data (EYFP) 33 - 6 h 13 min ,Raw Data (EYFP) 34 - 6 h 24 min ,Raw Data (EYFP) 35 - 6 h 36 min ,Raw Data (EYFP) 36 - 6 h 48 min ,Raw Data (EYFP) 37 - 6 h 59 min ,Raw Data (EYFP) 38 - 7 h 11 min ,Raw Data (EYFP) 39 - 7 h 23 min ,Raw Data (EYFP) 40 - 7 h 34 min ,Raw Data (EYFP) 41 - 7 h 46 min ,Raw Data (EYFP) 42 - 7 h 57 min ,Raw Data (EYFP) 43 - 8 h 9 min ,Raw Data (EYFP) 44 - 8 h 21 min ,Raw Data (EYFP) 45 - 8 h 33 min ,Raw Data (EYFP) 46 - 8 h 44 min ,Raw Data (EYFP) 47 - 8 h 56 min ,Raw Data (EYFP) 48 - 9 h 8 min ,Raw Data (EYFP) 49 - 9 h 19 min ,Raw Data (EYFP) 50 - 9 h 31 min ,Raw Data (EYFP) 51 - 9 h 43 min ,Raw Data (EYFP) 52 - 9 h 54 min ,Raw Data (EYFP) 53 - 10 h 6 min ,Raw Data (EYFP) 54 - 10 h 18 min ,Raw Data (EYFP) 55 - 10 h 29 min ,Raw Data (EYFP) 56 - 10 h 41 min ,Raw Data (EYFP) 57 - 10 h 52 min ,Raw Data (EYFP) 58 - 11 h 4 min ,Raw Data (EYFP) 59 - 11 h 16 min ,Raw Data (EYFP) 60 - 11 h 28 min ,Raw Data (EYFP) 61 - 11 h 39 min ,Raw Data (EYFP) 62 - 11 h 51 min ,Raw Data (EYFP) 63 - 12 h 3 min ,Raw Data (EYFP) 64 - 12 h 14 min ,Raw Data (EYFP) 65 - 12 h 26 min ,Raw Data (EYFP) 66 - 12 h 38 min ,Raw Data (EYFP) 67 - 12 h 49 min ,Raw Data (EYFP) 68 - 13 h 1 min ,Raw Data (EYFP) 69 - 13 h 13 min ,Raw Data (EYFP) 70 - 13 h 24 min ,Raw Data (EYFP) 71 - 13 h 36 min ,Raw Data (EYFP) 72 - 13 h 48 min ,Raw Data (EYFP) 73 - 13 h 59 min ,Raw Data (EYFP) 74 - 14 h 11 min ,Raw Data (EYFP) 75 - 14 h 23 min ,Raw Data (EYFP) 76 - 14 h 34 min ,Raw Data (EYFP) 77 - 14 h 46 min ,Raw Data (EYFP) 78 - 14 h 58 min ,Raw Data (EYFP) 79 - 15 h 9 min ,Raw Data (EYFP) 80 - 15 h 21 min ,Raw Data (EYFP) 81 - 15 h 33 min ,Raw Data (EYFP) 82 - 15 h 44 min ,Raw Data (EYFP) 83 - 15 h 56 min ,Raw Data (EYFP) 84 - 16 h 7 min ,Raw Data (EYFP) 85 - 16 h 19 min ,Raw Data (EYFP) 86 - 16 h 31 min ,Raw Data (EYFP) 87 - 16 h 42 min ,Raw Data (EYFP) 88 - 16 h 54 min ,Raw Data (EYFP) 89 - 17 h 6 min ,Raw Data (EYFP) 90 - 17 h 17 min ,Raw Data (EYFP) 91 - 17 h 29 min ,Raw Data (EYFP) 92 - 17 h 41 min ,Raw Data (EYFP) 93 - 17 h 52 min ,Raw Data (EYFP) 94 - 18 h 4 min ,Raw Data (EYFP) 95 - 18 h 16 min ,Raw Data (EYFP) 96 - 18 h 28 min ,Raw Data (EYFP) 97 - 18 h 39 min ,Raw Data (EYFP) 98 - 18 h 51 min ,Raw Data (EYFP) 99 - 19 h 2 min ,Raw Data (EYFP) 100 - 19 h 14 min ,Raw Data (ECFP) 1 - 0 h  ,Raw Data (ECFP) 2 - 0 h 11 min ,Raw Data (ECFP) 3 - 0 h 23 min ,Raw Data (ECFP) 4 - 0 h 34 min ,Raw Data (ECFP) 5 - 0 h 46 min ,Raw Data (ECFP) 6 - 0 h 58 min ,Raw Data (ECFP) 7 - 1 h 9 min ,Raw Data (ECFP) 8 - 1 h 21 min ,Raw Data (ECFP) 9 - 1 h 33 min ,Raw Data (ECFP) 10 - 1 h 44 min ,Raw Data (ECFP) 11 - 1 h 56 min ,Raw Data (ECFP) 12 - 2 h 8 min ,Raw Data (ECFP) 13 - 2 h 19 min ,Raw Data (ECFP) 14 - 2 h 31 min ,Raw Data (ECFP) 15 - 2 h 43 min ,Raw Data (ECFP) 16 - 2 h 54 min ,Raw Data (ECFP) 17 - 3 h 6 min ,Raw Data (ECFP) 18 - 3 h 18 min ,Raw Data (ECFP) 19 - 3 h 29 min ,Raw Data (ECFP) 20 - 3 h 41 min ,Raw Data (ECFP) 21 - 3 h 53 min ,Raw Data (ECFP) 22 - 4 h 4 min ,Raw Data (ECFP) 23 - 4 h 16 min ,Raw Data (ECFP) 24 - 4 h 28 min ,Raw Data (ECFP) 25 - 4 h 39 min ,Raw Data (ECFP) 26 - 4 h 51 min ,Raw Data (ECFP) 27 - 5 h 3 min ,Raw Data (ECFP) 28 - 5 h 14 min ,Raw Data (ECFP) 29 - 5 h 26 min ,Raw Data (ECFP) 30 - 5 h 38 min ,Raw Data (ECFP) 31 - 5 h 49 min ,Raw Data (ECFP) 32 - 6 h 1 min ,Raw Data (ECFP) 33 - 6 h 13 min ,Raw Data (ECFP) 34 - 6 h 24 min ,Raw Data (ECFP) 35 - 6 h 36 min ,Raw Data (ECFP) 36 - 6 h 48 min ,Raw Data (ECFP) 37 - 6 h 59 min ,Raw Data (ECFP) 38 - 7 h 11 min ,Raw Data (ECFP) 39 - 7 h 23 min ,Raw Data (ECFP) 40 - 7 h 34 min ,Raw Data (ECFP) 41 - 7 h 46 min ,Raw Data (ECFP) 42 - 7 h 57 min ,Raw Data (ECFP) 43 - 8 h 9 min ,Raw Data (ECFP) 44 - 8 h 21 min ,Raw Data (ECFP) 45 - 8 h 33 min ,Raw Data (ECFP) 46 - 8 h 44 min ,Raw Data (ECFP) 47 - 8 h 56 min ,Raw Data (ECFP) 48 - 9 h 8 min ,Raw Data (ECFP) 49 - 9 h 19 min ,Raw Data (ECFP) 50 - 9 h 31 min ,Raw Data (ECFP) 51 - 9 h 43 min ,Raw Data (ECFP) 52 - 9 h 54 min ,Raw Data (ECFP) 53 - 10 h 6 min ,Raw Data (ECFP) 54 - 10 h 18 min ,Raw Data (ECFP) 55 - 10 h 29 min ,Raw Data (ECFP) 56 - 10 h 41 min ,Raw Data (ECFP) 57 - 10 h 52 min ,Raw Data (ECFP) 58 - 11 h 4 min ,Raw Data (ECFP) 59 - 11 h 16 min ,Raw Data (ECFP) 60 - 11 h 28 min ,Raw Data (ECFP) 61 - 11 h 39 min ,Raw Data (ECFP) 62 - 11 h 51 min ,Raw Data (ECFP) 63 - 12 h 3 min ,Raw Data (ECFP) 64 - 12 h 14 min ,Raw Data (ECFP) 65 - 12 h 26 min ,Raw Data (ECFP) 66 - 12 h 38 min ,Raw Data (ECFP) 67 - 12 h 49 min ,Raw Data (ECFP) 68 - 13 h 1 min ,Raw Data (ECFP) 69 - 13 h 13 min ,Raw Data (ECFP) 70 - 13 h 24 min ,Raw Data (ECFP) 71 - 13 h 36 min ,Raw Data (ECFP) 72 - 13 h 48 min ,Raw Data (ECFP) 73 - 13 h 59 min ,Raw Data (ECFP) 74 - 14 h 11 min ,Raw Data (ECFP) 75 - 14 h 23 min ,Raw Data (ECFP) 76 - 14 h 34 min ,Raw Data (ECFP) 77 - 14 h 46 min ,Raw Data (ECFP) 78 - 14 h 58 min ,Raw Data (ECFP) 79 - 15 h 9 min ,Raw Data (ECFP) 80 - 15 h 21 min ,Raw Data (ECFP) 81 - 15 h 33 min ,Raw Data (ECFP) 82 - 15 h 44 min ,Raw Data (ECFP) 83 - 15 h 56 min ,Raw Data (ECFP) 84 - 16 h 7 min ,Raw Data (ECFP) 85 - 16 h 19 min ,Raw Data (ECFP) 86 - 16 h 31 min ,Raw Data (ECFP) 87 - 16 h 42 min ,Raw Data (ECFP) 88 - 16 h 54 min ,Raw Data (ECFP) 89 - 17 h 6 min ,Raw Data (ECFP) 90 - 17 h 17 min ,Raw Data (ECFP) 91 - 17 h 29 min ,Raw Data (ECFP) 92 - 17 h 41 min ,Raw Data (ECFP) 93 - 17 h 52 min ,Raw Data (ECFP) 94 - 18 h 4 min ,Raw Data (ECFP) 95 - 18 h 16 min ,Raw Data (ECFP) 96 - 18 h 28 min ,Raw Data (ECFP) 97 - 18 h 39 min ,Raw Data (ECFP) 98 - 18 h 51 min ,Raw Data (ECFP) 99 - 19 h 2 min ,Raw Data (ECFP) 100 - 19 h 14 min ,Raw Data (mRFP1) 1 - 0 h  ,Raw Data (mRFP1) 2 - 0 h 11 min ,Raw Data (mRFP1) 3 - 0 h 23 min ,Raw Data (mRFP1) 4 - 0 h 34 min ,Raw Data (mRFP1) 5 - 0 h 46 min ,Raw Data (mRFP1) 6 - 0 h 58 min ,Raw Data (mRFP1) 7 - 1 h 9 min ,Raw Data (mRFP1) 8 - 1 h 21 min ,Raw Data (mRFP1) 9 - 1 h 33 min ,Raw Data (mRFP1) 10 - 1 h 44 min ,Raw Data (mRFP1) 11 - 1 h 56 min ,Raw Data (mRFP1) 12 - 2 h 8 min ,Raw Data (mRFP1) 13 - 2 h 19 min ,Raw Data (mRFP1) 14 - 2 h 31 min ,Raw Data (mRFP1) 15 - 2 h 43 min ,Raw Data (mRFP1) 16 - 2 h 54 min ,Raw Data (mRFP1) 17 - 3 h 6 min ,Raw Data (mRFP1) 18 - 3 h 18 min ,Raw Data (mRFP1) 19 - 3 h 29 min ,Raw Data (mRFP1) 20 - 3 h 41 min ,Raw Data (mRFP1) 21 - 3 h 53 min ,Raw Data (mRFP1) 22 - 4 h 4 min ,Raw Data (mRFP1) 23 - 4 h 16 min ,Raw Data (mRFP1) 24 - 4 h 28 min ,Raw Data (mRFP1) 25 - 4 h 39 min ,Raw Data (mRFP1) 26 - 4 h 51 min ,Raw Data (mRFP1) 27 - 5 h 3 min ,Raw Data (mRFP1) 28 - 5 h 14 min ,Raw Data (mRFP1) 29 - 5 h 26 min ,Raw Data (mRFP1) 30 - 5 h 38 min ,Raw Data (mRFP1) 31 - 5 h 49 min ,Raw Data (mRFP1) 32 - 6 h 1 min ,Raw Data (mRFP1) 33 - 6 h 13 min ,Raw Data (mRFP1) 34 - 6 h 24 min ,Raw Data (mRFP1) 35 - 6 h 36 min ,Raw Data (mRFP1) 36 - 6 h 48 min ,Raw Data (mRFP1) 37 - 6 h 59 min ,Raw Data (mRFP1) 38 - 7 h 11 min ,Raw Data (mRFP1) 39 - 7 h 23 min ,Raw Data (mRFP1) 40 - 7 h 34 min ,Raw Data (mRFP1) 41 - 7 h 46 min ,Raw Data (mRFP1) 42 - 7 h 57 min ,Raw Data (mRFP1) 43 - 8 h 9 min ,Raw Data (mRFP1) 44 - 8 h 21 min ,Raw Data (mRFP1) 45 - 8 h 33 min ,Raw Data (mRFP1) 46 - 8 h 44 min ,Raw Data (mRFP1) 47 - 8 h 56 min ,Raw Data (mRFP1) 48 - 9 h 8 min ,Raw Data (mRFP1) 49 - 9 h 19 min ,Raw Data (mRFP1) 50 - 9 h 31 min ,Raw Data (mRFP1) 51 - 9 h 43 min ,Raw Data (mRFP1) 52 - 9 h 54 min ,Raw Data (mRFP1) 53 - 10 h 6 min ,Raw Data (mRFP1) 54 - 10 h 18 min ,Raw Data (mRFP1) 55 - 10 h 29 min ,Raw Data (mRFP1) 56 - 10 h 41 min ,Raw Data (mRFP1) 57 - 10 h 52 min ,Raw Data (mRFP1) 58 - 11 h 4 min ,Raw Data (mRFP1) 59 - 11 h 16 min ,Raw Data (mRFP1) 60 - 11 h 28 min ,Raw Data (mRFP1) 61 - 11 h 39 min ,Raw Data (mRFP1) 62 - 11 h 51 min ,Raw Data (mRFP1) 63 - 12 h 3 min ,Raw Data (mRFP1) 64 - 12 h 14 min ,Raw Data (mRFP1) 65 - 12 h 26 min ,Raw Data (mRFP1) 66 - 12 h 38 min ,Raw Data (mRFP1) 67 - 12 h 49 min ,Raw Data (mRFP1) 68 - 13 h 1 min ,Raw Data (mRFP1) 69 - 13 h 13 min ,Raw Data (mRFP1) 70 - 13 h 24 min ,Raw Data (mRFP1) 71 - 13 h 36 min ,Raw Data (mRFP1) 72 - 13 h 48 min ,Raw Data (mRFP1) 73 - 13 h 59 min ,Raw Data (mRFP1) 74 - 14 h 11 min ,Raw Data (mRFP1) 75 - 14 h 23 min ,Raw Data (mRFP1) 76 - 14 h 34 min ,Raw Data (mRFP1) 77 - 14 h 46 min ,Raw Data (mRFP1) 78 - 14 h 58 min ,Raw Data (mRFP1) 79 - 15 h 9 min ,Raw Data (mRFP1) 80 - 15 h 21 min ,Raw Data (mRFP1) 81 - 15 h 33 min ,Raw Data (mRFP1) 82 - 15 h 44 min ,Raw Data (mRFP1) 83 - 15 h 56 min ,Raw Data (mRFP1) 84 - 16 h 7 min ,Raw Data (mRFP1) 85 - 16 h 19 min ,Raw Data (mRFP1) 86 - 16 h 31 min ,Raw Data (mRFP1) 87 - 16 h 42 min ,Raw Data (mRFP1) 88 - 16 h 54 min ,Raw Data (mRFP1) 89 - 17 h 6 min ,Raw Data (mRFP1) 90 - 17 h 17 min ,Raw Data (mRFP1) 91 - 17 h 29 min ,Raw Data (mRFP1) 92 - 17 h 41 min ,Raw Data (mRFP1) 93 - 17 h 52 min ,Raw Data (mRFP1) 94 - 18 h 4 min ,Raw Data (mRFP1) 95 - 18 h 16 min ,Raw Data (mRFP1) 96 - 18 h 28 min ,Raw Data (mRFP1) 97 - 18 h 39 min ,Raw Data (mRFP1) 98 - 18 h 51 min ,Raw Data (mRFP1) 99 - 19 h 2 min ,Raw Data (mRFP1) 100 - 19 h 14 min ,Raw Data (OD) 1 - 0 h  ,Raw Data (OD) 2 - 0 h 11 min ,Raw Data (OD) 3 - 0 h 23 min ,Raw Data (OD) 4 - 0 h 34 min ,Raw Data (OD) 5 - 0 h 46 min ,Raw Data (OD) 6 - 0 h 58 min ,Raw Data (OD) 7 - 1 h 9 min ,Raw Data (OD) 8 - 1 h 21 min ,Raw Data (OD) 9 - 1 h 33 min ,Raw Data (OD) 10 - 1 h 44 min ,Raw Data (OD) 11 - 1 h 56 min ,Raw Data (OD) 12 - 2 h 8 min ,Raw Data (OD) 13 - 2 h 19 min ,Raw Data (OD) 14 - 2 h 31 min ,Raw Data (OD) 15 - 2 h 43 min ,Raw Data (OD) 16 - 2 h 54 min ,Raw Data (OD) 17 - 3 h 6 min ,Raw Data (OD) 18 - 3 h 18 min ,Raw Data (OD) 19 - 3 h 29 min ,Raw Data (OD) 20 - 3 h 41 min ,Raw Data (OD) 21 - 3 h 53 min ,Raw Data (OD) 22 - 4 h 4 min ,Raw Data (OD) 23 - 4 h 16 min ,Raw Data (OD) 24 - 4 h 28 min ,Raw Data (OD) 25 - 4 h 39 min ,Raw Data (OD) 26 - 4 h 51 min ,Raw Data (OD) 27 - 5 h 3 min ,Raw Data (OD) 28 - 5 h 14 min ,Raw Data (OD) 29 - 5 h 26 min ,Raw Data (OD) 30 - 5 h 38 min ,Raw Data (OD) 31 - 5 h 49 min ,Raw Data (OD) 32 - 6 h 1 min ,Raw Data (OD) 33 - 6 h 13 min ,Raw Data (OD) 34 - 6 h 24 min ,Raw Data (OD) 35 - 6 h 36 min ,Raw Data (OD) 36 - 6 h 48 min ,Raw Data (OD) 37 - 6 h 59 min ,Raw Data (OD) 38 - 7 h 11 min ,Raw Data (OD) 39 - 7 h 23 min ,Raw Data (OD) 40 - 7 h 34 min ,Raw Data (OD) 41 - 7 h 46 min ,Raw Data (OD) 42 - 7 h 57 min ,Raw Data (OD) 43 - 8 h 9 min ,Raw Data (OD) 44 - 8 h 21 min ,Raw Data (OD) 45 - 8 h 33 min ,Raw Data (OD) 46 - 8 h 44 min ,Raw Data (OD) 47 - 8 h 56 min ,Raw Data (OD) 48 - 9 h 8 min ,Raw Data (OD) 49 - 9 h 19 min ,Raw Data (OD) 50 - 9 h 31 min ,Raw Data (OD) 51 - 9 h 43 min ,Raw Data (OD) 52 - 9 h 54 min ,Raw Data (OD) 53 - 10 h 6 min ,Raw Data (OD) 54 - 10 h 18 min ,Raw Data (OD) 55 - 10 h 29 min ,Raw Data (OD) 56 - 10 h 41 min ,Raw Data (OD) 57 - 10 h 52 min ,Raw Data (OD) 58 - 11 h 4 min ,Raw Data (OD) 59 - 11 h 16 min ,Raw Data (OD) 60 - 11 h 28 min ,Raw Data (OD) 61 - 11 h 39 min ,Raw Data (OD) 62 - 11 h 51 min ,Raw Data (OD) 63 - 12 h 3 min ,Raw Data (OD) 64 - 12 h 14 min ,Raw Data (OD) 65 - 12 h 26 min ,Raw Data (OD) 66 - 12 h 38 min ,Raw Data (OD) 67 - 12 h 49 min ,Raw Data (OD) 68 - 13 h 1 min ,Raw Data (OD) 69 - 13 h 13 min ,Raw Data (OD) 70 - 13 h 24 min ,Raw Data (OD) 71 - 13 h 36 min ,Raw Data (OD) 72 - 13 h 48 min ,Raw Data (OD) 73 - 13 h 59 min ,Raw Data (OD) 74 - 14 h 11 min ,Raw Data (OD) 75 - 14 h 23 min ,Raw Data (OD) 76 - 14 h 34 min ,Raw Data (OD) 77 - 14 h 46 min ,Raw Data (OD) 78 - 14 h 58 min ,Raw Data (OD) 79 - 15 h 9 min ,Raw Data (OD) 80 - 15 h 21 min ,Raw Data (OD) 81 - 15 h 33 min ,Raw Data (OD) 82 - 15 h 44 min ,Raw Data (OD) 83 - 15 h 56 min ,Raw Data (OD) 84 - 16 h 7 min ,Raw Data (OD) 85 - 16 h 19 min ,Raw Data (OD) 86 - 16 h 31 min ,Raw Data (OD) 87 - 16 h 42 min ,Raw Data (OD) 88 - 16 h 54 min ,Raw Data (OD) 89 - 17 h 6 min ,Raw Data (OD) 90 - 17 h 17 min ,Raw Data (OD) 91 - 17 h 29 min ,Raw Data (OD) 92 - 17 h 41 min ,Raw Data (OD) 93 - 17 h 52 min ,Raw Data (OD) 94 - 18 h 4 min ,Raw Data (OD) 95 - 18 h 16 min ,Raw Data (OD) 96 - 18 h 28 min ,Raw Data (OD) 97 - 18 h 39 min ,Raw Data (OD) 98 - 18 h 51 min ,Raw Data (OD) 99 - 19 h 2 min ,Raw Data (OD) 100 - 19 h 14 min 
,,,,,0,0.193611111,0.387777778,0.581944444,0.777222222,0.971388889,1.166111111,1.359166667,1.553888889,1.748055556,1.941666667,2.135833333,2.330277778,2.525277778,2.72,2.913055556,3.108333333,3.301944444,3.496388889,3.691944444,3.886666667,4.081666667,4.276111111,4.471111111,4.664444444,4.859722222,5.053888889,5.247222222,5.442222222,5.636666667,5.831944444,6.025833333,6.219722222,6.413055556,6.606666667,6.800833333,6.996111111,7.191111111,7.384444444,7.578888889,7.772222222,7.966388889,8.161944444,8.356111111,8.551111111,8.745277778,8.940555556,9.135555556,9.329722222,9.524444444,9.718611111,9.912222222,10.10722222,10.30055556,10.495,10.68833333,10.88333333,11.0775,11.2725,11.46694444,11.66194444,11.85694444,12.05166667,12.24583333,12.44,12.63444444,12.82888889,13.02277778,13.21777778,13.41305556,13.60777778,13.80194444,13.99611111,14.18944444,14.38388889,14.57805556,14.77333333,14.96722222,15.16138889,15.35583333,15.55055556,15.74472222,15.93916667,16.13277778,16.3275,16.52111111,16.71527778,16.90888889,17.10444444,17.29888889,17.49361111,17.68777778,17.88277778,18.07777778,18.27222222,18.46694444,18.66111111,18.85611111,19.04972222,19.24416667,0,0.193611111,0.387777778,0.581944444,0.777222222,0.971388889,1.166111111,1.359166667,1.553888889,1.748055556,1.941666667,2.135833333,2.330277778,2.525277778,2.72,2.913055556,3.108333333,3.301944444,3.496388889,3.691944444,3.886666667,4.081666667,4.276111111,4.471111111,4.664444444,4.859722222,5.053888889,5.247222222,5.442222222,5.636666667,5.831944444,6.025833333,6.219722222,6.413055556,6.606666667,6.800833333,6.996111111,7.191111111,7.384444444,7.578888889,7.772222222,7.966388889,8.161944444,8.356111111,8.551111111,8.745277778,8.940555556,9.135555556,9.329722222,9.524444444,9.718611111,9.912222222,10.10722222,10.30055556,10.495,10.68833333,10.88333333,11.0775,11.2725,11.46694444,11.66194444,11.85694444,12.05166667,12.24583333,12.44,12.63444444,12.82888889,13.02277778,13.21777778,13.41305556,13.60777778,13.80194444,13.99611111,14.18944444,14.38388889,14.57805556,14.77333333,14.96722222,15.16138889,15.35583333,15.55055556,15.74472222,15.93916667,16.13277778,16.3275,16.52111111,16.71527778,16.90888889,17.10444444,17.29888889,17.49361111,17.68777778,17.88277778,18.07777778,18.27222222,18.46694444,18.66111111,18.85611111,19.04972222,19.24416667,0,0.193611111,0.387777778,0.581944444,0.777222222,0.971388889,1.166111111,1.359166667,1.553888889,1.748055556,1.941666667,2.135833333,2.330277778,2.525277778,2.72,2.913055556,3.108333333,3.301944444,3.496388889,3.691944444,3.886666667,4.081666667,4.276111111,4.471111111,4.664444444,4.859722222,5.053888889,5.247222222,5.442222222,5.636666667,5.831944444,6.025833333,6.219722222,6.413055556,6.606666667,6.800833333,6.996111111,7.191111111,7.384444444,7.578888889,7.772222222,7.966388889,8.161944444,8.356111111,8.551111111,8.745277778,8.940555556,9.135555556,9.329722222,9.524444444,9.718611111,9.912222222,10.10722222,10.30055556,10.495,10.68833333,10.88333333,11.0775,11.2725,11.46694444,11.66194444,11.85694444,12.05166667,12.24583333,12.44,12.63444444,12.82888889,13.02277778,13.21777778,13.41305556,13.60777778,13.80194444,13.99611111,14.18944444,14.38388889,14.57805556,14.77333333,14.96722222,15.16138889,15.35583333,15.55055556,15.74472222,15.93916667,16.13277778,16.3275,16.52111111,16.71527778,16.90888889,17.10444444,17.29888889,17.49361111,17.68777778,17.88277778,18.07777778,18.27222222,18.46694444,18.66111111,18.85611111,19.04972222,19.24416667,0,0.193611111,0.387777778,0.581944444,0.777222222,0.971388889,1.166111111,1.359166667,1.553888889,1.748055556,1.941666667,2.135833333,2.330277778,2.525277778,2.72,2.913055556,3.108333333,3.301944444,3.496388889,3.691944444,3.886666667,4.081666667,4.276111111,4.471111111,4.664444444,4.859722222,5.053888889,5.247222222,5.442222222,5.636666667,5.831944444,6.025833333,6.219722222,6.413055556,6.606666667,6.800833333,6.996111111,7.191111111,7.384444444,7.578888889,7.772222222,7.966388889,8.161944444,8.356111111,8.551111111,8.745277778,8.940555556,9.135555556,9.329722222,9.524444444,9.718611111,9.912222222,10.10722222,10.30055556,10.495,10.68833333,10.88333333,11.0775,11.2725,11.46694444,11.66194444,11.85694444,12.05166667,12.24583333,12.44,12.63444444,12.82888889,13.02277778,13.21777778,13.41305556,13.60777778,13.80194444,13.99611111,14.18944444,14.38388889,14.57805556,14.77333333,14.96722222,15.16138889,15.35583333,15.55055556,15.74472222,15.93916667,16.13277778,16.3275,16.52111111,16.71527778,16.90888889,17.10444444,17.29888889,17.49361111,17.68777778,17.88277778,18.07777778,18.27222222,18.46694444,18.66111111,18.85611111,19.04972222,19.24416667
RS100S32_Y81C76,,1,A,C6=25000,312,314,302,316,316,319,317,331,310,330,327,337,343,338,358,375,395,417,444,433,474,532,575,622,675,742,833,914,1022,1169,1270,1455,1589,1738,1908,2087,2288,2457,2654,2930,3134,3314,3482,3688,3860,4022,4222,4282,4503,4610,4767,4934,5024,5107,5246,5396,5513,5580,5731,5798,5905,6060,6142,6214,6350,6397,6502,6684,6696,6819,6964,6993,7098,7131,7238,7407,7322,7472,7565,7614,7770,7906,8012,8039,8153,8217,8252,8376,8484,8368,8505,8546,8584,8662,8732,8769,8851,8899,9018,8984,4640,4658,4548,4552,4546,4632,4494,4658,4650,4692,4694,4841,4863,4854,4908,4952,5101,5005,5302,5236,5426,5637,5764,5856,6077,6344,6766,6991,7402,7899,8478,9172,10068,11149,12694,14197,16075,17792,19755,21725,23838,24891,26431,27492,28204,29062,29509,30263,30566,31267,31723,32003,32786,33442,33844,34555,34932,35539,36433,36413,37165,37813,38570,39394,40037,40882,41434,41946,42900,43146,43778,44511,45520,46051,46506,46899,47498,48426,48629,49666,50133,51221,51647,51820,52981,53551,54066,54888,55275,56056,56336,57054,57804,58649,58852,59501,59771,60110,61289,61490,68,70,72,78,71,75,70,70,78,77,74,74,72,79,68,71,76,78,81,81,79,86,86,94,93,89,101,113,109,106,124,130,149,151,160,166,177,189,202,214,234,252,257,292,310,322,340,362,393,403,418,443,454,476,500,506,509,542,544,552,585,598,605,627,629,638,668,677,679,704,710,725,734,757,744,775,775,787,818,802,846,830,840,854,869,878,881,915,917,912,908,960,949,969,993,969,962,1030,1007,1019,0.107,0.1028,0.1038,0.1082,0.1047,0.1086,0.1097,0.1097,0.1109,0.1126,0.1175,0.1236,0.1251,0.1319,0.1327,0.1418,0.1453,0.1518,0.173,0.1762,0.1906,0.201,0.2164,0.2708,0.3356,0.3164,0.4241,0.5065,0.6437,0.9371,0.9856,1.1713,1.231,1.4175,1.5259,1.6769,1.8316,1.9344,2.0728,2.1968,2.2856,2.3139,2.4265,2.4483,2.4223,2.5351,2.5602,2.4938,2.5456,2.5547,2.6004,2.5993,2.5984,2.6536,2.6604,2.5965,2.6886,2.6294,2.6304,2.6499,2.6604,2.6671,2.6609,2.6791,2.668,2.6774,2.6875,2.6842,2.6811,2.7022,2.6654,2.6606,2.6665,2.656,2.6702,2.6649,2.6757,2.6506,2.6463,2.6598,2.6425,2.6343,2.6322,2.6523,2.6239,2.6181,2.6158,2.6092,2.6143,2.611,2.6048,2.6071,2.5927,2.6107,2.5799,2.6038,2.5954,2.5738,2.5788,2.5919
